Index,WBS,Outline Level,Name,Type,Start Date,End Date,Duration (days),% Complete,Status,Priority,Assigned To,Description
0,0,0,Kruger Friday-Report,Project,2026-02-02,2026-09-30,173,0,Planning,Medium,,
1,1,1,Backlog,Summary,2026-02-12,2026-03-27,32,89,Not Started,Medium,,
2,1.1,2,    Prep meetings & planning,Summary,2026-02-12,2026-03-27,32,75,In Progress,Medium,"André Alves, João Rodrigues",
3,1.2,2,    Gather specific requirements through Power BI reports,Summary,2026-02-20,2026-03-10,13,100,In Progress,Medium,João Rodrigues,
4,1.3,2,    Compile new requirements document,Summary,2026-03-02,2026-03-10,7,100,In Progress,Medium,João Rodrigues,
5,1.4,2,    Demo with Kruger,Summary,2026-03-03,2026-03-10,6,100,Not Started,Medium,"André Alves, João Rodrigues, Yuri Frid",
6,1.5,2,    Timesheets discussion,Summary,2026-03-04,2026-03-10,5,100,Not Started,Medium,"André Alves, João Rodrigues, Yuri Frid",
7,1.6,2,    Timesheets out-of-the-box demo,Summary,2026-03-05,2026-03-10,4,100,Completed,Medium,"Yuri Frid, André Alves, João Rodrigues",
8,1.7,2,    Add new report to requirements,Summary,2026-03-09,2026-03-10,2,100,In Progress,Medium,João Rodrigues,
9,1.8,2,    Build migration schedule for PPM365 2.0,Task,2026-03-09,2026-03-10,2,100,In Progress,Medium,João Rodrigues,
10,2,1,PPM365 2.0 Development & Migration,Summary,2026-04-15,2026-09-28,119,0,Not Started,Medium,,
11,2.1,2,    Initiation & Kickoff,Summary,2026-04-15,2026-04-15,1,0,Not Started,Medium,,
12,2.1.1,3,        Kickoff,Task,2026-04-15,2026-04-15,1,0,Not Started,Medium,,
13,2.2,2,    Phase 1 - Core Build & Base Setup,Summary,2026-04-16,2026-05-05,14,0,Not Started,Medium,,
14,2.2.1,3,        DEV Environment Setup,Task,2026-04-16,2026-04-16,1,0,Not Started,Medium,,
15,2.2.2,3,"        Deploy base PPM365 2.0 (FridayReport) to Kruger, including its entities and integrations",Task,2026-04-17,2026-04-23,5,0,Not Started,Medium,,
16,2.2.3,3,        Basic OOB security roles setup,Task,2026-04-24,2026-04-27,2,0,Not Started,Medium,,
17,2.2.4,3,        Initial Internal QA,Task,2026-04-28,2026-05-04,5,0,Not Started,Medium,,
18,2.2.5,3,        PPM365 2.0 Core Functionalities Ready,Task,2026-05-05,2026-05-05,1,0,Not Started,Medium,,
19,2.3,2,    Phase 2 - Data Model & Core Configuration Enhancements,Summary,2026-05-06,2026-05-20,11,0,Not Started,Medium,,
20,2.3.1,3,        R006 - Resource database setup (Timesheet Active flag),Task,2026-05-06,2026-05-06,1,0,Not Started,Medium,,
21,2.3.2,3,"        Add new fields and metadata to Projects, Tasks and Resources",Task,2026-05-07,2026-05-13,5,0,Not Started,Medium,,
22,2.3.3,3,        Internal QA,Task,2026-05-14,2026-05-18,3,0,Not Started,Medium,,
23,2.3.4,3,        R007; R008 Complete,Milestone,2026-05-19,2026-05-19,0,0,Not Started,Medium,,
24,2.3.5,3,        R032 Complete,Milestone,2026-05-19,2026-05-19,0,0,Not Started,Medium,,
25,2.3.6,3,"        R061, R100 complete",Milestone,2026-05-19,2026-05-19,0,0,Not Started,Medium,,
26,2.3.7,3,        Phase 2 Complete,Milestone,2026-05-20,2026-05-20,1,0,Not Started,Medium,,
27,2.4,2,    Initial Migration - DEV,Summary,2026-05-21,2026-06-03,10,0,Not Started,Medium,,
28,2.4.1,3,        MSPO Migration,Task,2026-05-21,2026-05-25,3,0,Not Started,Medium,,
29,2.4.2,3,        Internal QA - MSPO,Task,2026-05-26,2026-05-26,1,0,Not Started,Medium,,
30,2.4.3,3,        PPM365 Migration,Task,2026-05-27,2026-05-28,2,0,Not Started,Medium,,
31,2.4.4,3,        Internal QA - PPM365,Task,2026-05-29,2026-05-29,1,0,Not Started,Medium,,
32,2.4.5,3,        Kruger Data Validation,Task,2026-06-01,2026-06-02,2,0,Not Started,Medium,,
33,2.4.6,3,        Initial Migration Sign-Off,Milestone,2026-06-03,2026-06-03,0,0,Not Started,Medium,,
34,2.5,2,"    Phase 3 - Resource Management, Capacity & Utilization Views",Summary,2026-05-21,2026-06-17,20,0,Not Started,Medium,,
35,2.5.1,3,        R031 - Weekly Planned Hours & Availability view,Task,2026-05-21,2026-05-21,1,0,Not Started,Medium,,
36,2.5.2,3,        R083 - Multi-resource planning per task & multiple workloads,Task,2026-05-22,2026-05-25,2,0,Not Started,Medium,,
